figure_id,What is the level of RNA expression in NMJ?,What is the level of protein expression in NMJ?,Nascent transcript level in muscle,Cytosolic RNA level in muscle,Is there obvious RNA/protein discordance (whole image- NMJ)?,Is RNA present in muscle?,Is protein present in muscle?,Is protein present in NMJ post synaptic density?,Is RNA present in NMJ neuron?,Is protein present in NMJ neuron?,Is RNA present in NMJ axon terminal?,Is protein present in NMJ axon terminal?,Protein localized in glia?,RNA in localized in glia,,RNA in neuropil glia?,protein in neuropil glia?,RNA in cortical glia?,protein in cortical glia?,,All glia RNA,All glia protein,,,
2125613,Low,High,Low,None,Yes,No,No,No,No,Yes,no,no,yes,no,,no,no,yes,yes,,no,yes,,total protein,83
2125621,Moderate,Moderate,High,Low,No,Yes,Yes,No,No,Yes,no,no,no,no,,no,no,yes,yes,,yes,yes,,protein with localised RNA,69
2137763,Moderate,Low,Moderate,Moderate,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,0.831325301
2137797,Moderate,Moderate,High,Moderate,No,Yes,Yes,No,Yes,No,yes,no,yes,yes,,no,no,no,yes,,yes,yes,,,
2137799,Low,Low,Low,None,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137802,Moderate,Low,High,Low,Yes,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137819,High,Low,Moderate,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137821,Low,Moderate,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,no,yes,,,
2137822,Moderate,High,High,Moderate,Yes,No,No,Yes,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137825,Moderate,Low,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137826,High,High,Moderate,High,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137828,Moderate,Moderate,None,Moderate,Yes,Yes,No,No,Yes,Yes,no,no,yes,yes,,no,no,yes,yes,,yes,yes,,,
2137829,Low,High,Low,Low,No,No,No,No,Yes,Yes,no,no,yes,yes,,no,no,yes,yes,,yes,yes,,,
2137830,High,Low,Low,High,Yes,Yes,No,No,Yes,No,yes,no,no,no,,no,no,yes,yes,,no,yes,,,
2137831,Moderate,Low,High,Moderate,No,Yes,Yes,No,No,No,no,no,no,no,,no,yes,yes,yes,,yes,yes,,,
2137832,Low,Low,Moderate,Low,No,Yes,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137833,Low,Moderate,High,Low,Yes,Yes,No,No,Yes,No,yes,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137834,High,High,Moderate,High,No,Yes,Yes,No,Yes,No,yes,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137835,Moderate,Low,Low,Moderate,Yes,Yes,No,No,Yes,Yes,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137836,Low,Low,Moderate,Low,No,No,Yes,No,No,No,no,no,no,no,,no,no,yes,yes,,yes,yes,,,
2137837,High,Moderate,Moderate,High,No,Yes,Yes,No,Yes,No,no,no,no,no,,no,no,no,yes,,yes,yes,,,
2137839,Low,None,High,None,No,No,No,No,No,No,no,no,no,no,,no,no,yes,yes,,no,yes,,,
2137840,Low,Low,High,None,No,No,No,No,No,No,no,no,no,no,,yes,yes,yes,yes,,yes,yes,,,
2137841,Low,High,High,Low,Yes,Yes,No,No,No,No,no,yes,no,no,,no,no,yes,yes,,yes,yes,,,
2137842,Low,Moderate,Moderate,None,No,Yes,Yes,No,No,No,no,yes,no,no,,no,no,yes,yes,,yes,yes,,,
