figure_id,Collection,Compartment
2125613,CPTI001977,NMJ
2125621,CPTI002828,NMJ
2137754,CPTI002750,overview
2137755,CPTI002750,CB
2137756,CPTI002750,OL
2137757,CPTI001039,OL
2137758,CPTI001039,CB
2137759,CPTI001039,MB
2137760,CPTI001039,VNC
2137761,CPTI000765,MB
2137762,CPTI002789,VNC
2137763,CPTI003426,NMJ
2137764,CPTI000337,overview
2137765,CPTI002750,MB
2137766,CPTI002750,VNC
2137767,CPTI001735,CB
2137768,CPTI000765,CB
2137769,CPTI000765,VNC
2137770,CPTI000765,OL
2137771,CPTI000765,overview
2137772,CPTI002636,overview
2137773,CPTI002636,OL
2137774,CPTI002636,MB
2137775,CPTI002636,CB
2137776,CPTI001015,OL
2137777,CPTI002201,VNC
2137778,CPTI003971,MB
2137779,CPTI002285,VNC
2137780,CPTI001279,overview
2137781,CPTI001279,CB
2137782,CPTI001279,VNC
2137783,CPTI001279,MB
2137784,CPTI001279,OL
2137785,CPTI001198,overview
2137786,CPTI001198,CB
2137787,CPTI001198,VNC
2137788,CPTI001198,MB
2137789,CPTI003971,OL
2137790,CPTI002152,overview
2137791,CPTI001685,OL
2137792,CPTI002152,CB
2137793,CPTI002152,VNC
2137794,CPTI002152,MB
2137795,CPTI003089,OL
2137796,CPTI000736,overview
2137797,CPTI000633,NMJ
2137798,CPTI002201,OL
2137799,CPTI001457,NMJ
2137800,CPTI001880,OL
2137801,CPTI002636,VNC
2137802,CPTI003733,NMJ
2137803,CPTI001685,MB
2137804,CPTI000207,CB
2137805,CPTI003091,OL
2137806,CPTI000207,VNC
2137807,CPTI002285,OL
2137808,CPTI000207,MB
2137809,CPTI003089,MB
2137810,CPTI000207,OL
2137811,CPTI001685,CB
2137812,CPTI001880,MB
2137813,CPTI002201,CB
2137814,CPTI001693,overview
2137816,CPTI004362,overview
2137817,CPTI001589,OL
2137819,CPTI003598,NMJ
2137821,CPTI000326,NMJ
2137822,CPTI002889,NMJ
2137823,CPTI000161,CB
2137824,CPTI001589,CB
2137825,CPTI004479,NMJ
2137826,CPTI002315,NMJ
2137827,CPTI003971,CB
2137828,CPTI002342,NMJ
2137829,CPTI002408,NMJ
2137830,CPTI002443,NMJ
2137831,CPTI002487,NMJ
2137832,CPTI002750,NMJ
2137833,CPTI002103,NMJ
2137834,CPTI002793,NMJ
2137835,CPTI002796,NMJ
2137836,CPTI002818,NMJ
2137837,CPTI000915,NMJ
2137839,CPTI002905,NMJ
2137840,CPTI002927,NMJ
2137841,CPTI001081,NMJ
2137842,CPTI001194,NMJ
2137843,CPTI001234,NMJ
2137844,CPTI001259,NMJ
2137845,CPTI001261,NMJ
2137846,CPTI001880,CB
2137847,CPTI001308,NMJ
2137848,CPTI001880,VNC
2137849,CPTI001328,NMJ
2137850,CPTI001880,overview
2137852,CPTI001409,NMJ
2137853,CPTI100035,NMJ
2137854,CPTI001586,NMJ
2137855,CPTI001685,NMJ
2137856,CPTI001709,NMJ
2137857,CPTI001714,NMJ
2137858,CPTI001735,NMJ
2137859,CPTI000876,NMJ
2137860,CPTI001769,NMJ
2137861,CPTI001771,NMJ
2137862,CPTI001775,NMJ
2137863,CPTI001828,NMJ
2137864,CPTI001879,NMJ
2137865,CPTI001997,NMJ
2137866,CPTI002761,NMJ
2137867,CPTI002807,NMJ
