figure_id,RNA_CB,protein_CB,punctate_protein_CB,Comments,,Experiment 2,Experiment 1,Mean,,,,
2138694,both,both,no,global expression,,Total genes expressed in NBs  (fraction),,,,,,
2137980,both,both,no,global expression,,0.717391304,0.576719577,0.647055441,,,,
2138552,both,both,no,global expression,,,,,,,,
2138564,both,both,no,global expression,,Genes with protein expressed specifically in progeny (fraction),,,,,,
2138568,both,both,no,global expression,,0.10326087,0.116402116,0.109831493,,,,
2138147,both,both,yes,global expression,,,,,,,,0.583333333
2138708,both,both,no,global expression,,Progeny-specific protien expression explained by transcription (fraction),,,,,,
2138024,both,both,yes,global expression,,0.473684211,0.272727273,0.373205742,,,,
2137873,both,both,yes,global expression,,,,,,,,
2138055,both,both,yes,global expression,,Global expression,,,,,,
2138604,both,both,yes,global expression,,123,101,,,,,
2138767,both,both,no,global expression,,0.650793651,0.534391534,0.592592593,60,,,
2138667,both,both,no,global expression,,Not expressed,,,,,,
2138927,both,both,no,global expression,,40,63,,,,,
2138827,both,both,no,global expression,,0.211640212,0.333333333,0.272486772,28,,,
2138939,both,both,no,global expression,,Transcriptional regulation,,,,,,
2138597,both,both,no,global expression,,10,17,,,,,
2138489,both,both,yes,global expression,,0.052910053,0.08994709,0.071428571,7,,13.23,
2138718,both,both,no,global expression,,Posttranscriptional regulation,,,,,,
2138862,both,both,no,global expression,,10,8,,,,,
2138614,both,both,no,global expression,,0.052910053,0.042328042,0.047619048,5,,9.45,
2138138,both,both,yes,global expression,,,,,,,,
2138653,both,both,yes,global expression,,,,0.984126984,100,,,
2138730,both,both,yes,global expression,,,,,,,,
2138161,both,both,no,global expression,,,,,,,,
2137990,both,both,yes,global expression,,,,,,,,
2138784,both,both,no,global expression,,,,,,,,
2138891,both,both,no,global expression,,,,,,,,
2138370,both,both,no,global expression,,,,,,,,
2138509,both,both,no,global expression,,,,,,,,
2138574,both,both,yes,global expression,,,,,,,,
2138180,both,both,no,global expression,,,,,,,,
2138578,both,both,no,global expression,,,,,,,,
2138649,both,both,no,global expression,,,,,,,,
2138821,both,both,no,global expression,,,,,,,,
2138065,both,both,no,global expression,,,,,,,,
2138583,both,both,no,global expression,,,,,,,,
2138738,both,both,yes,global expression,,,,,,,,
2138610,both,both,no,global expression,,,,,,,,
2138041,both,both,no,global expression,,,,,,,,
2138710,both,both,no,global expression,,,,,,,,
2138874,both,both,yes,global expression,,,,,,,,
2138761,both,both,no,global expression,,,,,,,,
2138401,both,both,no,global expression,,,,,,,,
2138317,both,both,no,global expression,,,,,,,,
2138425,both,both,yes,global expression,,,,,,,,
2138374,both,both,no,global expression,,,,,,,,
2138692,both,both,no,global expression,,,,,,,,
2137781,both,both,yes,global expression,,,,,,,,
2138266,both,both,no,global expression,,,,,,,,
2138503,both,both,no,global expression,,,,,,,,
2138252,both,both,yes,global expression,,,,,,,,
2138889,both,both,no,global expression,,,,,,,,
2138315,both,both,yes,global expression,,,,,,,,
2137758,both,both,yes,global expression,,,,,,,,
2138923,both,both,no,global expression,,,,,,,,
