FBgn,figure_id,RNA_CB,protein_CB,punctate_CB,Comments,,,,,,,Final,,
FBgn0028341,2137755,both,both,no,global expression,global expression,114,0.57,0.785,57,,FBgn0052626,1,1
FBgn0262743,2137767,both,both,no,global expression,not expressed,43,0.215,0.215,22,79,FBgn0259176,1,1
FBgn0000117,2137786,both,both,yes,global expression,transcriptional regulation,31,0.155,0.720930233,15,,FBgn0004868,1,1
FBgn0001624,2137804,both,both,no,global expression,posttranscriptional regulation,12,0.06,0.279069767,6,,FBgn0263594,1,1
FBgn0026418,2137813,both,both,no,global expression,,,,,100,,FBgn0026418,1,1
FBgn0041789,2137823,both,both,no,global expression,,,,,,,FBgn0010238,1,1
FBgn0263391,2137824,both,both,no,global expression,,,,,,,FBgn0004177,1,1
FBgn0016059,2137827,both,both,no,global expression,,,,,,,FBgn0015790,1,1
FBgn0014007,2137846,both,both,,global expression,,,,,,,FBgn0045823,1,1
FBgn0011592,2137873,both,both,yes,global expression,,,,,,,FBgn0020238,1,1
FBgn0004456,2137915,both,both,no,global expression,,,,,,,FBgn0027087,1,1
FBgn0003721,2137937,both,both,no,global expression,,,,,,,FBgn0264442,1,1
FBgn0015229,2137952,both,both,no,global expression,,,,,,,FBgn0000017,1,1
FBgn0022960,2137966,both,both,no,global expression,,,,,,,FBgn0000053,1,1
FBgn0259984,2137980,both,both,no,global expression,,,,,,,FBgn0036337,1,1
FBgn0266521,2137990,both,both,yes,global expression,,,,,,,FBgn0261238,1,1
FBgn0260003,2138029,both,both,no,global expression,,,,,,,FBgn0010215,1,1
FBgn0264975,2138037,both,both,no,global expression,,,,,,,FBgn0027356,1,1
FBgn0032298,2138041,both,both,no,global expression,,,,,,,FBgn0028343,1,1
FBgn0003716,2138046,both,both,,global expression,,,,,,,FBgn0000097,1,1
FBgn0013997,2138051,both,both,yes,global expression,,,,,,,FBgn0000117,1,1
FBgn0261988,2138065,both,both,no,global expression,,,,,,,FBgn0034075,1,1
FBgn0004227,2138091,both,both,yes,global expression,,,,,,,FBgn0002921,1,1
FBgn0020653,2138105,both,both,no,global expression,,,,,,,FBgn0010217,1,1
FBgn0031632,2138107,both,both,no,global expression,,,,,,,FBgn0023407,1,1
FBgn0262559,2138120,both,both,,global expression,,,,,,,FBgn0000183,1,1
FBgn0261885,2138123,both,both,no,global expression,,,,,,,FBgn0037007,1,1
FBgn0051694,2138129,both,both,no,global expression,,,,,,,FBgn0036449,1,1
FBgn0003165,2138138,both,both,no,global expression,,,,,,,FBgn0011206,1,1
FBgn0010215,2138147,both,both,no,global expression,,,,,,,FBgn0261822,1,1
FBgn0266579,2138161,both,both,no,global expression,,,,,,,FBgn0000253,1,1
FBgn0010238,2138165,both,both,no,global expression,,,,,,,FBgn0264607,1,1
FBgn0004868,2138166,both,both,yes,global expression,,,,,,,FBgn0031883,1,1
FBgn0002921,2138180,both,both,no,global expression,,,,,,,FBgn0004878,1,1
FBgn0002645,2138245,both,both,no,global expression,,,,,,,FBgn0000261,1,1
FBgn0052479,2138252,both,both,yes,global expression,,,,,,,FBgn0032409,1,1
FBgn0259735,2138256,both,both,no,global expression,,,,,,,FBgn0035397,1,1
FBgn0052062,2138266,both,both,no,global expression,,,,,,,FBgn0039882,1,1
FBgn0036239,2138279,both,both,no,global expression,,,,,,,FBgn0039274,1,1
FBgn0010415,2138309,both,both,,global expression,,,,,,,FBgn0053293,1,1
FBgn0261278,2138315,both,both,,global expression,,,,,,,FBgn0263997,1,1
FBgn0023167,2138317,both,both,no,global expression,,,,,,,FBgn0031632,1,1
FBgn0005671,2138343,both,both,no,global expression,,,,,,,FBgn0030478,1,1
FBgn0031883,2138370,both,both,no,global expression,,,,,,,FBgn0033446,1,1
FBgn0041210,2138374,both,both,,global expression,,,,,,,FBgn0031645,1,1
FBgn0052423,2138401,both,both,no,global expression,,,,,,,FBgn0051694,1,1
FBgn0027087,2138404,both,both,no,global expression,,,,,,,FBgn0259735,1,1
FBgn0039348,2138406,both,both,no,global expression,,,,,,,FBgn0052062,1,1
