figure_id,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Notes,,,,
2138256,yes,yes,no,no,no,no," Really specific, good example of cortical glia",,,,
2138024,yes,yes,no,no,no,no," cortical glia cell body specific, punctate",,,,
2137873,yes,yes,no,no,no,no, ,,,,
2138136,no,yes,no,no,no,no, ,,,,
2138597,yes,yes,no,no,no,no, very obvious RNA and protein,,,,
2137768,yes,yes,no,no,no,no, ,,,,35
2137824,yes,yes,no,no,no,no, very obvious,,,,
2137990,yes,yes,no,no,no,no, ,,,,
2138891,yes,yes,no,no,no,no, ,,,,
2138180,yes,yes,no,no,no,no, ,,,,0.897435897
2138065,yes,yes,no,no,no,no, ,,,,
2138738,yes,yes,no,no,no,no, ,,,,
2137804,yes,yes,yes,yes,no,no, ,,,,
2137781,yes,yes,no,no,no,no, ,,,,
2138831,yes,yes,no,no,no,no, ,,,,
2138051,yes,yes,no,no,no,no, punctate,,,,
2138046,yes,yes,no,no,no,no, ,,,,
2138280,yes,yes,no,no,no,no, ,,,,
2138129,yes,yes,no,no,no,no, ,,,,
2138029,yes,yes,no,no,no,no, ,,,,
2138245,no,yes,no,no,no,no, bright protein in parts but smFISH is low quality,,,,
2137786,yes,yes,yes,yes,no,no, ,,,,
2138451,yes,yes,no,no,no,no, ,,,,
2138271,yes,yes,no,no,no,no, ,,,,
2137846,yes,yes,yes,yes,no,no, ,,,,
2138664,no,yes,no,no,no,no, ,,,,
2138563,yes,yes,no,no,no,no, very nice protein,,,,
2138343,yes,yes,no,no,no,no,"potential figure for CG expression, high quality",,,,
2137966,yes,yes,no,no,no,no, ,,,,
2138603,yes,yes,no,no,no,no, very obvious,,,,
2138107,yes,yes,no,no,no,no, ,,,,
2137907,yes,yes,no,no,no,no,very punctate protein,,,,
2138174,yes,yes,no,no,no,no, ,,,,
2138105,yes,yes,no,no,no,no, ,,,0.202072539,
2138737,yes,yes,no,no,no,no, ,,,,
2137755,yes,yes,no,no,no,no, ,,,,
2138922,yes,yes,no,no,no,no, ,,,,
2138322,yes,yes,no,no,no,no," high, specific protein expression confined to the CG soma",,,,
