figure_id,MB_data_interpretable,Comments
2138311,yes,
2138540,yes,
2138893,yes,
2138431,no,
2138798,yes,
2138452,no,
2137992,yes,
2138248,no,
2138519,no,
2138348,yes,
2138464,yes,
2138415,yes,
2138468,no,
2138576,yes,
2138616,yes,
2137774,yes,
2138159,yes,
2138393,yes,
2137902,yes,
2138128,yes,
2137778,yes,
2138036,yes,
2138063,yes,
2138585,yes,
2137945,no,
2138839,yes,
2138944,yes,
2138935,yes,
2138856,yes,
2137812,yes,
2138765,yes,
2138057,yes,
2138706,yes,
2138677,yes,
2138669,yes,
2138038,yes,
2138829,yes,
2138837,yes,
2138173,yes,
2138622,yes,
2138599,yes,
2138550,yes,
2138450,yes,
2138313,yes,
2138521,yes,
2138796,yes,
2138358,no,
2138566,yes,
2138337,yes,
2138505,no,
2138329,yes,
2138491,yes,
2138726,yes,
2137979,yes,
2138878,yes,
2138387,yes,
2138909,yes,
2137808,yes,
2139235,yes,
2138917,yes,
2137875,yes,
2138462,yes,
2138250,yes,
2137986,yes,
2138558,yes,
2137994,no,
2138554,yes,
2138278,yes,
2138680,no,
2138366,yes,
2138437,no,
2138895,yes,
2138411,yes,
2138264,yes,
2138535,yes,
2138682,yes,
2137783,yes,
2137996,yes,
2138376,yes,
2137984,yes,
2138659,yes,
2138624,yes,
2138724,yes,
2138747,yes,
2138067,yes,
2138736,yes,
2138167,yes,
2138840,yes,
2138728,yes,
2138179,yes,
2137977,yes,
2138815,no,
2138151,yes,
2138876,yes,
2138043,yes,
2138397,yes,
2138864,yes,
2138919,yes,
2138845,no,
2138750,yes,
2138838,yes,
2138633,no,
2138826,yes,
2138926,yes,
2138857,yes,
2138849,no,
2138496,no,
2138025,yes,
2138392,yes,
2137803,yes,
2137911,yes,
2138910,yes,
2138506,yes,
2138326,yes,
2138338,yes,
2138345,yes,
2137794,yes,
2138795,yes,
2138799,yes,
2138892,yes,
2138516,yes,
2138259,yes,
2138408,yes,
2138579,yes,
2138255,yes,
2138363,no,
2137891,yes,
2137788,yes,
2138797,yes,
2138420,yes,
2138443,yes,
2138936,no,
2138836,yes,
2138594,yes,
2138631,yes,
2138731,yes,
2138103,yes,
2137765,yes,
2138135,no,
2138048,yes,
2138800,yes,
2138863,yes,
2138275,yes,
2138424,yes,
2138693,yes,
2138308,yes,
2138316,yes,
2138894,yes,
2137895,yes,
2138400,yes,
2138571,yes,
2138140,yes,
2138879,yes,
2138772,yes,
2137761,yes,
2138052,yes,
2137809,yes,
2138908,yes,
2138875,yes,
2138660,yes,
2138031,yes,
2138648,yes,
2138756,yes,
2137950,yes,
2138590,yes,
2138076,yes,
2138627,yes,
2138744,no,
2138644,yes,
2138662,yes,
2138033,yes,
2138877,yes,
2138814,yes,
2138818,yes,
2138121,yes,
2137759,yes,
2138853,yes,
2138758,yes,
2138658,yes,
2137923,yes,
2138754,yes,
2137940,yes,
2138457,yes,
2138545,yes,
2137985,yes,
2138526,no,
2138426,yes,
2138473,yes,
2138341,yes,
