figure_id,RNA in cortical glia?,protein in cortical glia?,RNA in neuropil glia?,protein in neuropil glia?,RNA in surface glia?,protein in surface glia?,Notes,,,,,,,,
2137759,no,no,no,no,no,no, ,,,,,2137759.jpg,,2137759,1
2137761,no,no,no,no,no,no, ,,new,old,,2137761.jpg,,2137761,1
2137765,no,no,no,no,no,no, ,,,0.113402062,,2137765.jpg,,2137765,1
2137774,no,no,no,no,no,no, ,5,23,15,,2137774.jpg,,2137774,1
2137778,no,no,no,no,no,no, ,,0.652173913,0.681818182,,2137778.jpg,,2137778,1
2137783,no,no,no,no,no,no, ,,,,,2137783.jpg,,2137783,1
2137788,no,no,no,no,no,no, ,,,,,2137788.jpg,,2137788,1
2137794,no,no,no,no,no,no, ,,,,,2137794.jpg,,2137794,1
2137803,no,no,no,no,no,no, ,,,,,2137803.jpg,,2137803,1
2137808,no,no,no,no,no,no, ,,,,,2137808.jpg,,2137808,1
2137809,no,no,no,no,no,no, ,,,,,2137809.jpg,,2137809,1
2137812,no,no,no,no,no,no, ,,,,,2137812.jpg,,2137812,1
2137875,no,no,no,no,no,no, ,,,,,2137875.jpg,,2137875,1
2137891,no,no,no,no,no,no, ,,,,,2137891.jpg,,2137891,1
2137895,no,no,no,yes,no,no, need better RNA data,,,,,2137895.jpg,,2137895,1
2137902,no,no,no,no,no,no, ,,,,,2137902.jpg,,2137902,1
2137911,no,no,no,no,no,no, ,,,,,2137911.jpg,,2137911,1
2137923,no,no,no,no,no,no, ,,,,,2137923.jpg,,2137923,1
2137940,no,no,no,no,no,no, ,,,,,2137940.jpg,,2137940,1
2137945,no,no,no,no,no,no, ,,,,,2137945.jpg,,2137945,1
2137950,no,no,no,no,no,no, ,,,,,2137950.jpg,,2137950,1
2137977,no,no,no,no,no,no, ,,,,,2137977.jpg,,2137977,1
2137979,no,no,yes,yes,no,no, ,,,,,2137979.jpg,,2137979,1
2137984,no,no,no,no,no,no, ,,,,,2137984.jpg,,2137984,1
2137985,no,no,no,no,no,no, ,,,,,2137985.jpg,,2137985,1
2137986,no,no,no,no,no,no, ,,,,,2137986.jpg,,2137986,1
2137992,no,no,no,no,no,no, ,,,,,2137992.jpg,,2137992,1
2137994,no,no,no,no,no,no, ,,,,,2137994.jpg,,2137994,1
2137996,no,no,yes,yes,no,no, ,,,,,2137996.jpg,,2137996,1
2138025,no,no,no,no,no,no, ,,,,,2138025.jpg,,2138025,1
2138031,no,no,no,no,no,no, ,,,,,2138031.jpg,,2138031,1
2138033,no,no,yes,yes,no,no, ,,,,,2138033.jpg,,2138033,1
2138036,no,no,no,no,no,no, ,,,,,2138036.jpg,,2138036,1
2138038,yes,yes,yes,yes,no,no, ,,,,,2138038.jpg,,2138038,1
2138043,no,no,yes,yes,no,no, ,,,,,2138043.jpg,,2138043,1
2138048,yes,yes,no,no,no,no, ,,,,,2138048.jpg,,2138048,1
2138052,yes,yes,no,no,no,no, ,,,,,2138052.jpg,,2138052,1
2138057,no,no,no,no,no,no, ,,,,,2138057.jpg,,2138057,1
2138063,no,no,no,no,no,no, ,,,,,2138063.jpg,,2138063,1
2138067,no,no,no,no,no,no, ,,,,,2138067.jpg,,2138067,1
2138076,no,no,no,no,no,no, ,,,,,2138076.jpg,,2138076,1
2138103,no,no,no,no,no,no, ,,,,,2138103.jpg,,2138103,1
2138121,no,no,no,no,no,no, ,,,,,2138121.jpg,,2138121,1
2138128,no,no,no,no,no,no, ,,,,,2138128.jpg,,2138128,1
2138135,no,no,no,no,no,no, ,,,,,2138135.jpg,,2138135,1
2138140,no,no,no,no,no,no, ,,,,,2138140.jpg,,2138140,1
2138151,no,no,no,no,no,no, ,,,,,2138151.jpg,,2138151,1
2138159,no,no,no,no,no,no, ,,,,,2138159.jpg,,2138159,1
2138167,no,no,no,no,no,no, ,,,,,2138167.jpg,,2138167,1
2138173,yes,yes,no,yes,no,no, ,,,,,2138173.jpg,,2138173,1
2138179,no,no,no,no,no,no, ,,,,,2138179.jpg,,2138179,1
2138248,no,no,no,no,no,no, ,,,,,2138248.jpg,,2138248,1
2138250,no,no,no,no,no,no, ,,,,,2138250.jpg,,2138250,1
2138255,no,no,no,no,no,no, ,,,,,2138255.jpg,,2138255,1
2138259,no,no,no,no,no,no, ,,,,,2138259.jpg,,2138259,1
2138264,no,no,no,no,no,no, ,,,,,2138264.jpg,,2138264,1
2138275,no,no,no,no,no,no, ,,,,,2138275.jpg,,2138275,1
2138278,no,no,no,no,no,no, ,,,,,2138278.jpg,,2138278,1
2138308,no,no,no,no,no,no, ,,,,,2138308.jpg,,2138308,1
2138311,no,no,no,no,no,no, ,,,,,2138311.jpg,,2138311,1
2138313,no,no,no,no,no,no, ,,,,,2138313.jpg,,2138313,1
2138316,no,no,no,no,no,no, ,,,,,2138316.jpg,,2138316,1
2138326,no,no,no,no,no,no, ,,,,,2138326.jpg,,2138326,1
2138329,no,no,no,no,no,no, ,,,,,2138329.jpg,,2138329,1
2138337,no,no,no,no,no,no, ,,,,,2138337.jpg,,2138337,1
2138338,no,no,no,no,no,no, ,,,,,2138338.jpg,,2138338,1
2138341,no,no,no,no,no,no, ,,,,,2138341.jpg,,2138341,1
2138345,no,no,yes,yes,no,no, ,,,,,2138345.jpg,,2138345,1
2138348,no,no,no,no,no,no, ,,,,,2138348.jpg,,2138348,1
2138358,no,no,no,no,no,no, ,,,,,2138358.jpg,,2138358,1
2138363,no,no,no,no,no,no, ,,,,,2138363.jpg,,2138363,1
2138366,no,no,yes,yes,no,no, ,,,,,2138366.jpg,,2138366,1
2138376,no,no,no,no,no,no, ,,,,,2138376.jpg,,2138376,1
2138387,no,no,no,no,no,no, ,,,,,2138387.jpg,,2138387,1
2138392,no,no,yes,yes,no,no, ,,,,,2138392.jpg,,2138392,1
2138393,no,no,no,no,no,no, ,,,,,2138393.jpg,,2138393,1
2138397,no,no,no,yes,no,no, rna too poor,,,,,2138397.jpg,,2138397,1
2138400,no,no,no,no,no,no, ,,,,,2138400.jpg,,2138400,1
2138408,no,no,no,no,no,no, ,,,,,2138408.jpg,,2138408,1
2138411,no,no,no,no,no,no, ,,,,,2138411.jpg,,2138411,1
2138415,no,no,no,no,no,no, ,,,,,2138415.jpg,,2138415,1
2138420,no,no,no,no,no,no, ,,,,,2138420.jpg,,2138420,1
2138424,no,no,no,no,no,no, ,,,,,2138424.jpg,,2138424,1
2138426,no,no,no,no,no,no, ,,,,,2138426.jpg,,2138426,1
2138431,no,no,no,yes,no,no, RNA low quality,,,,,2138431.jpg,,2138431,1
2138437,no,no,no,no,no,no, ,,,,,2138437.jpg,,2138437,1
2138443,no,no,no,no,no,no, ,,,,,2138443.jpg,,2138443,1
2138450,no,no,no,no,no,no, ,,,,,2138450.jpg,,2138450,1
2138452,no,no,no,no,no,no, ,,,,,2138452.jpg,,2138452,1
2138457,no,no,no,no,no,no, ,,,,,2138457.jpg,,2138457,1
2138462,no,no,no,no,no,no, ,,,,,2138462.jpg,,2138462,1
2138464,no,no,no,no,no,no, ,,,,,2138464.jpg,,2138464,1
2138468,no,no,no,no,no,no, ,,,,,2138468.jpg,,2138468,1
2138473,no,no,no,no,no,no, ,,,,,2138473.jpg,,2138473,1
2138491,no,no,no,no,no,no, ,,,,,2138491.jpg,,2138491,1
2138496,no,no,no,no,no,no, ,,,,,2138496.jpg,,2138496,1
2138505,no,no,yes,yes,no,no, ,,,,,2138505.jpg,,2138505,1
2138506,no,no,no,no,no,no, ,,,,,2138506.jpg,,2138506,1
2138516,no,no,no,no,no,no, ,,,,,2138516.jpg,,2138516,1
2138519,no,no,no,no,no,no, ,,,,,2138519.jpg,,2138519,1
2138521,no,no,no,no,no,no, ,,,,,2138521.jpg,,2138521,1
2138526,no,no,no,no,no,no, ,,,,,2138526.jpg,,2138526,1
2138535,no,no,no,no,no,no, ,,,,,2138535.jpg,,2138535,1
2138540,no,no,no,no,no,no, ,,,,,2138540.jpg,,2138540,1
2138545,no,no,no,no,no,no, ,,,,,2138545.jpg,,2138545,1
2138550,no,no,no,no,no,no, ,,,,,2138550.jpg,,2138550,1
2138554,no,no,no,no,no,no, ,,,,,2138554.jpg,,2138554,1
2138558,no,no,no,no,no,no, ,,,,,2138558.jpg,,2138558,1
2138566,no,no,no,yes,no,no, RNA low quality Nrv2,,,,,2138566.jpg,,2138566,1
2138576,no,no,no,no,no,no, ,,,,,2138571.jpg,,2138576,1
2138579,no,no,no,no,no,no, ,,,,,2138576.jpg,,2138579,1
2138585,no,no,no,no,no,no, ,,,,,2138579.jpg,,2138585,1
