FBgID,CPTI,gene_name,figure_id,RNA_NMJ_axon,protein_NMJ_axon,Localized RNA,Localized Protein,,Both,RNA only,Protein only,,figure_id,Is RNA present in axon terminal?,,,figure_id,Is protein present in axon terminal?,,,,Is RNA present in post synaptic density?,,,,Is protein present in post synaptic density?,
FBgn0052626,CPTI001081,AMPdeam,2137841,yes,yes,,,,16,0,10,,2125613,No,0,,2125613,No,0,,,No,,,,No,
FBgn0266521,CPTI001234,stai,2137843,yes,yes,16,26,,,,,,2125621,No,0,,2125621,No,0,,,No,,,,No,
FBgn0000097,CPTI000876,aop,2137859,yes,yes,200,200,,,,,,2137763,Yes,1,,2137763,No,0,,,Yes,,,,No,
FBgn0052685,CPTI004292,Zap3,2137888,yes,yes,,,,,,,,2137797,Yes,1,,2137797,No,0,,,Yes,,,,No,
FBgn0250823,CPTI002023,Gish,2137963,yes,yes,,,,,,,,2137799,No,0,,2137799,No,0,,,No,,,,No,
FBgn0045823,CPTI001718,vsg,2137973,yes,yes,,,,,,,,2137802,No,0,,2137802,No,0,,,No,,,,No,
FBgn0264607,CPTI000944,CaMKII,2138070,yes,yes,,,,,,,,2137819,No,0,,2137819,No,0,,,Yes,,,,No,
FBgn0027356,CPTI002789,Amph,2138175,yes,yes,,,,,,,,2137821,No,0,,2137821,No,0,,,Yes,,,,No,
FBgn0000253,CPTI001284,Cam,2138202,yes,yes,,,,,,,,2137822,No,0,,2137822,Yes,1,,,No,,,,Yes,
FBgn0264307,CPTI004362,orb2,2138221,yes,yes,,,,,,,,2137825,No,0,,2137825,No,0,,,No,,,,No,
FBgn0030400,CPTI001659,Pits,2138223,yes,yes,,,,,,,,2137826,Yes,1,,2137826,No,0,,,Yes,,,,No,
FBgn0000711,CPTI002264,flw,2138225,yes,yes,,,,,,,,2137828,Yes,1,,2137828,Yes,1,,,Yes,,,,No,
FBgn0004868,CPTI001693,Gdi,2138227,yes,yes,,,,,,,,2137829,No,0,,2137829,No,0,,,No,,,,No,
FBgn0003721,CPTI000760,Tm1,2138238,yes,yes,,,,,,,,2137830,Yes,1,,2137830,No,0,,,Yes,,,,No,
FBgn0015790,CPTI100051,Rab11,2138239,yes,yes,,,,,,,,2137831,No,0,,2137831,No,0,,,Yes,,,,No,
FBgn0003371,CPTI000023,Sgg,2139921,yes,yes,,,,,,,,2137832,No,0,,2137832,No,0,,,Yes,,,,No,
FBgn0013733,CPTI001962,shot,2137972,yes,yes,,,,,,,,2137833,Yes,1,,2137833,No,0,,,Yes,,,,No,
FBgn0013997,CPTI001977,Nrx-IV,2125613,no,no,,,,,,,,2137834,Yes,0,,2137834,No,1,,,Yes,,,,No,
FBgn0003435,CPTI002828,sm,2125621,no,no,,,,,,,,2137835,No,1,,2137835,No,1,,,Yes,,,,No,
FBgn0027087,CPTI003426,Aats-his,2137763,no,no,,,,,,,,2137836,Yes,0,,2137836,No,1,,,No,,,,No,
FBgn0028327,CPTI000633,l(1)G0320,2137797,no,no,,,,,,,,2137837,Yes,0,,2137837,Yes,0,,,Yes,,,,No,
FBgn0010905,CPTI001457,Spn,2137799,no,no,,,,,,,,2137839,No,1,,2137839,No,1,,,No,,,,No,
FBgn0000053,CPTI003733,ade3,2137802,no,no,,,,,,,,2137840,No,1,,2137840,No,1,,,No,,,,No,
FBgn0261238,CPTI003598,Alh,2137819,no,no,,,,,,,,2137841,No,1,,2137841,Yes,0,,,No,,,,No,
FBgn0028343,CPTI000326,Ankle2,2137821,no,no,,,,,,,,2137842,No,1,,2137842,Yes,0,,,No,,,,No,
FBgn0082582,CPTI002889,tmod,2137822,no,no,,,,,,,,2137843,No,1,,2137843,Yes,0,,,No,,,,No,
FBgn0264442,CPTI004479,ab,2137825,no,no,,,,,,,,2137844,No,1,,2137844,Yes,0,,,Yes,,,,Yes,
FBgn0262559,CPTI002315,mdh2,2137826,no,no,,,,,,,,2137845,No,1,,2137845,No,1,,,Yes,,,,No,
FBgn0010215,CPTI002342,alpha-Cat,2137828,no,no,,,,,,,,2137847,No,1,,2137847,No,1,,,No,,,,No,
FBgn0010238,CPTI002408,Lac,2137829,no,no,,,,,,,,2137849,Yes,0,,2137849,No,1,,,Yes,,,,No,
FBgn0039274,CPTI002443,CG11920,2137830,no,no,,,,,,,,2137852,No,1,,2137852,No,1,,,No,,,,No,
FBgn0003716,CPTI002487,tkv,2137831,no,no,,,,,,,,2137853,Yes,0,,2137853,No,1,,,Yes,,,,Yes,
FBgn0028341,CPTI002750,Ptpmeg2,2137832,no,no,,,,,,,,2137854,No,1,,2137854,No,1,,,No,,,,No,
FBgn0022986,CPTI002103,qkr58E-1,2137833,no,no,,,,,,,,2137855,No,1,,2137855,No,1,,,No,,,,No,
FBgn0030478,CPTI002793,CG1640,2137834,no,no,,,,,,,,2137856,Yes,0,,2137856,No,1,,,Yes,,,,No,
FBgn0052423,CPTI002796,shep,2137835,no,no,,,,,,,,2137857,Yes,0,,2137857,No,1,,,Yes,,,,No,
FBgn0036239,CPTI002818,Pop2,2137836,no,no,,,,,,,,2137858,Yes,0,,2137858,No,1,,,Yes,,,,No,
FBgn0020653,CPTI000915,Trxr-1,2137837,no,no,,,,,,,,2137859,Yes,0,,2137859,Yes,0,,,Yes,,,,Yes,
FBgn0063485,CPTI002905,Lasp,2137839,no,no,,,,,,,,2137860,Yes,0,,2137860,No,1,,,Yes,,,,No,
FBgn0004924,CPTI002927,Top1,2137840,no,no,,,,,,,,2137861,Yes,0,,2137861,No,1,,,Yes,,,,No,
FBgn0265140,CPTI001259,Neu3,2137844,no,no,,,,,,,,2137862,Yes,0,,2137862,No,1,,,Yes,,,,No,
FBgn0261552,CPTI001261,ps,2137845,no,no,,,,,,,,2137863,No,1,,2137863,No,1,,,No,,,,No,
FBgn0052479,CPTI001308,Usp10,2137847,no,no,,,,,,,,2137864,No,1,,2137864,No,1,,,Yes,,,,No,
FBgn0265523,CPTI001328,Smr,2137849,no,no,,,,,,,,2137865,No,1,,2137865,No,1,,,No,,,,No,
FBgn0000392,CPTI001409,cup,2137852,no,no,,,,,,,,2137866,Yes,0,,2137866,No,1,,,Yes,,,,No,
FBgn0023407,CPTI100035,B4,2137853,no,no,,,,,,,,2137867,Yes,0,,2137867,No,1,,,Yes,,,,No,
FBgn0259735,CPTI001586,CG31738,2137854,no,no,,,,,,,,2137868,No,1,,2137868,No,1,,,Yes,,,,Yes,
FBgn0026721,CPTI001685,fat-spondin,2137855,no,no,,,,,,,,2137870,No,1,,2137870,No,1,,,No,,,,No,
FBgn0001098,CPTI001709,Gdh,2137856,no,no,,,,,,,,2137871,No,1,,2137871,No,1,,,No,,,,No,
FBgn0264975,CPTI001714,Nrg,2137857,no,no,,,,,,,,2137876,No,1,,2137876,No,1,,,Yes,,,,Yes,
FBgn0262743,CPTI001735,Fs(2)Ket,2137858,no,no,,,,,,,,2137878,Yes,0,,2137878,Yes,0,,,Yes,,,,Yes,
FBgn0011763,CPTI001769,dp,2137860,no,no,,,,,,,,2137880,No,1,,2137880,No,1,,,Yes,,,,No,
FBgn0051694,CPTI001771,CG31694,2137861,no,no,,,,,,,,2137881,No,1,,2137881,No,1,,,No,,,,No,
FBgn0032949,CPTI001775,Lamp,2137862,no,no,,,,,,,,2137882,No,1,,2137882,No,1,,,No,,,,No,
FBgn0034075,CPTI001828,Asph,2137863,no,no,,,,,,,,2137883,No,1,,2137883,No,1,,,No,,,,No,
FBgn0023215,CPTI001879,Mnt,2137864,no,no,,,,,,,,2137884,Yes,0,,2137884,No,1,,,Yes,,,,No,
FBgn0024989,CPTI001997,CG3777,2137865,no,no,,,,,,,,2137885,Yes,0,,2137885,No,1,,,Yes,,,,No,
FBgn0002921,CPTI002761,Atpalpha,2137866,no,no,,,,,,,,2137886,No,1,,2137886,Yes,0,,,Yes,,,,Yes,
FBgn0030521,CPTI002807,CtsB,2137867,no,no,,,,,,,,2137887,No,1,,2137887,No,1,,,Yes,,,,No,
FBgn0285926,CPTI004117,Imp,2137868,no,no,,,,,,,,2137888,Yes,0,,2137888,No,1,,,Yes,,,,No,
FBgn0031268,CPTI001277,cold,2137870,no,no,,,,,,,,2137892,No,1,,2137892,No,1,,,Yes,,,,No,
FBgn0000117,CPTI001198,arm,2137871,no,no,,,,,,,,2137893,No,1,,2137893,No,1,,,No,,,,No,
FBgn0263997,CPTI001056,CG15307,2137876,no,no,,,,,,,,2137908,Yes,0,,2137908,Yes,0,,,Yes,,,,Yes,
FBgn0015776,CPTI000925,nrv1,2137878,no,no,,,,,,,,2137913,No,1,,2137913,No,1,,,No,,,,Yes,
FBgn0259244,CPTI000033,CG42342,2137880,no,no,,,,,,,,2137914,No,1,,2137914,No,1,,,No,,,,No,
FBgn0003676,CPTI000037,T-cp1,2137881,no,no,,,,,,,,2137916,Yes,0,,2137916,No,1,,,Yes,,,,No,
FBgn0015222,CPTI000038,Fer1HCH,2137882,no,no,,,,,,,,2137917,Yes,0,,2137917,No,1,,,Yes,,,,No,
FBgn0041210,CPTI000077,HDAC4,2137883,no,no,,,,,,,,2137918,Yes,0,,2137918,Yes,0,,,Yes,,,,Yes,
FBgn0015229,CPTI000155,glec,2137884,no,no,,,,,,,,2137919,No,1,,2137919,No,1,,,No,,,,No,
FBgn0003261,CPTI004179,Rm62,2137885,no,no,,,,,,,,2137921,Yes,0,,2137921,No,1,,,Yes,,,,Yes,
FBgn0037707,CPTI004189,RnpS1,2137886,no,no,,,,,,,,2137926,No,1,,2137926,No,1,,,No,,,,Yes,
FBgn0036165,CPTI000318,chrb,2137887,no,no,,,,,,,,2137927,No,1,,2137927,No,1,,,Yes,,,,No,
FBgn0032298,CPTI000379,CG6724,2137892,no,no,,,,,,,,2137935,No,1,,2137935,No,1,,,No,,,,No,
FBgn0004647,CPTI000433,N,2137893,no,no,,,,,,,,2137936,No,1,,2137936,No,1,,,No,,,,No,
FBgn0053087,CPTI001046,LRP1,2137908,no,no,,,,,,,,2137938,No,1,,2137938,No,1,,,Yes,,,,Yes,
FBgn0259214,CPTI001995,PMCA,2137913,no,no,,,,,,,,2137939,No,1,,2137939,No,1,,,No,,,,No,
FBgn0002772,CPTI002102,Mlc1,2137914,no,no,,,,,,,,2137942,Yes,0,,2137942,No,1,,,Yes,,,,No,
FBgn0020660,CPTI002187,eIF-4B,2137916,no,no,,,,,,,,2137943,No,1,,2137943,No,1,,,Yes,,,,No,
FBgn0026418,CPTI002201,Hsc70Cb,2137917,no,no,,,,,,,,2137947,Yes,0,,2137947,No,1,,,Non applicable / Missing Image,,,,No,
FBgn0004227,CPTI003091,nonA,2137918,no,no,,,,,,,,2137953,Yes,0,,2137953,No,1,,,Yes,,,,No,
FBgn0037073,CPTI000765,tsr1,2137919,no,no,,,,,,,,2137954,Yes,0,,2137954,No,1,,,Yes,,,,No,
FBgn0031307,CPTI002305,CG4726,2137921,no,no,,,,,,,,2137955,Yes,0,,2137955,No,1,,,Yes,,,,No,
FBgn0261822,CPTI100062,Bsg,2137926,no,no,,,,,,,,2137956,No,1,,2137956,No,1,,,Yes,,,,No,
FBgn0032409,CPTI000286,Ced-12,2137927,no,no,,,,,,,,2137957,No,1,,2137957,No,1,,,No,,,,Yes,
