figure_id,Protein in nucleus
2138881,no
2138423,no
2138794,yes
2138440,no
2137795,yes
2138507,no
2138419,no
2138515,no
2138339,no
2138327,yes
2138675,no
2138911,no
2138704,no
2138381,no
2137810,no
2138732,no
2138000,no
2138651,no
2138620,no
2138720,no
2138835,yes
2138589,no
2137934,no
2138743,no
2138049,no
2137912,no
2138913,no
2137800,no
2138126,no
2138777,no
2138026,no
2137776,no
2138495,yes
2138825,no
2138630,yes
2138487,yes
2138858,yes
2138262,no
2138362,no
2138688,no
2138788,no
2137982,no
2138442,no
2138696,no
2138883,no
2137789,no
2138346,no
2138354,no
2138405,no
2138229,no
2138757,no
2138657,no
2138749,no
2137756,no
2138634,no
2138850,no
2138833,yes
2137951,yes
2138866,yes
2138773,no
2137967,no
2138702,no
2138053,no
2138562,no
2138321,no
2138899,no
2137898,no
2137998,no
2137894,no
2138472,yes
2138352,no
2138448,no
2138897,no
2138456,no
2137791,no
2138539,yes
2138593,no
2138636,no
2138755,no
2137877,no
2138032,no
2138132,no
2138612,no
2137770,no
2137906,no
2138650,no
2138584,yes
2138642,no
2138721,no
2138834,no
2138774,no
2138058,no
2138666,no
2138565,yes
2138349,no
2138357,no
2138257,no
2138577,no
2138477,no
2138414,no
2138880,no
2138553,no
2138699,no
2137798,no
2138687,yes
2138430,no
2138530,no
2138575,no
2138324,no
2138359,no
2138355,no
2138467,no
2137991,no
2137784,no
2138520,no
2138882,no
2138312,no
2138789,no
2138723,no
2138172,no
2138824,no
2138160,no
2137925,no
2138598,no
2138156,no
2138812,no
2138912,no
2138764,no
2138768,no
2138039,no
2138044,no
2138027,no
2138127,no
2138793,no
2138898,no
2138436,no
2138267,yes
2138500,yes
2138332,no
2138243,no
2137773,no
2137905,no
2137805,yes
2138867,yes
2138703,yes
2138816,no
2138398,no
2137817,no
2138920,no
2138482,no
2137757,no
2138932,no
2138490,no
2138068,no
2138168,no
2138851,no
2138914,no
2138918,yes
2138021,no
2137807,no
2138865,no
2138613,no
2138646,yes
2138117,no
2138725,no
2138074,no
2138930,yes
2138109,no
2138178,no
2138729,no
2138941,no
2138654,no
2138637,no
2138822,yes
2138557,no
2138534,no
2138549,no
2138791,yes
2138377,no
2138691,no
2138510,yes
2138410,no
2138461,no
2138253,no
2138946,no
2139878,yes
2139882,no
2139886,no
2139898,no
2139961,no
2139973,no
2139978,no
2140576,no
2140577,no
2140585,no
2140675,no
2140676,no
2140681,no
2140682,yes
2141755,no
