figure_id,Collection,Compartment,OMEROFigurelink,image,Flybase_ID,FlyBase link,Gene,Is RNA in MB neuropil?,Is protein in MB neuropil?_x,Is RNA in MB neuropil?,Is protein expressed in MB neuropil?,Is RNA in OL neuropil?_y,Is protein in OL neuropil?_y,Is RNA in NMJ axon?,Is protein in NMJ axon?,"Cell-specific transcription, CB?_x","Intercellular protein:RNA discordance, CB?_x","Cell-specific transcription, CB?_y","Intercellular protein:RNA discordance, CB?_y",Revise figure?,RNA expressed in CB?_x,Punctate CB?_x,RNA expressed in CB?_y,Protein expressedin CB?_y,Protein expressed in CB?_x,"Data interpretable, MB?_x","Data interpretable, CB?_y",Punctate in CB?_y,neurite_RNA_enrich,brain_RNAseq,brain_Syp_RIP_seq,CNS_Imp_RIP_seq,goAnnotation_x,goAnnotation_y
2137950,CPTI000155,MB,https://omero1.bioch.ox.ac.uk/figure/file/2137950,2137950.png,FBgn0015229,http://flybase.org/reports/FBgn0015229,glec,yes,no,no,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,1204.333333,4100,3417,cell adhesion;heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules;nervous system development,cell adhesion;heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules;nervous system development
2138063,CPTI000190,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138063,2138063.png,FBgn0283521,http://flybase.org/reports/FBgn0283521,lola,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,36957.33333,36947.33333,19297,"R3/R4 cell fate commitment;R7 cell development;axon guidance;axon midline choice point recognition;axonogenesis;dendrite morphogenesis;gonad development;larval lymph gland hemopoiesis;larval somatic muscle development;nurse cell apoptotic process;positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria;positive regulation of peptidoglycan recognition protein signaling pathway;positive regulation of transcription, DNA-templated;regulation of axon guidance;regulation of gene expression;regulation of imaginal disc-derived wing size;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated","R3/R4 cell fate commitment;R7 cell development;axon guidance;axon midline choice point recognition;axonogenesis;dendrite morphogenesis;gonad development;larval lymph gland hemopoiesis;larval somatic muscle development;nurse cell apoptotic process;positive regulation of biosynthetic process of antibacterial peptides active against Gram-negative bacteria;positive regulation of peptidoglycan recognition protein signaling pathway;positive regulation of transcription, DNA-templated;regulation of axon guidance;regulation of gene expression;regulation of imaginal disc-derived wing size;regulation of transcription by RNA polymerase II;regulation of transcription, DNA-templated"
2138473,CPTI000365,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138473,2138473.png,FBgn0026533,http://flybase.org/reports/FBgn0026533,Dek,yes,no,no,no,yes,no,no,no,no,no,no,no,no,no,no,progeny,progeny,no,yes,no,no,,6635.666667,6461,2209,regulation of double-strand break repair,regulation of double-strand break repair
2138462,CPTI000590,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138462,2138462.png,FBgn0259212,http://flybase.org/reports/FBgn0259212,cno,yes,no,yes,no,yes,no,no,no,no,yes,yes,yes,no,both,no,progeny,progeny,both,yes,yes,no,1,4842,2726.666667,1070,"compound eye development;dorsal closure;dorsal closure, elongation of leading edge cells;embryonic morphogenesis;epidermis morphogenesis;establishment of mitotic spindle orientation;establishment or maintenance of cell polarity;glial cell proliferation;ommatidial rotation;regulation of JNK cascade;regulation of protein localization;second mitotic wave involved in compound eye morphogenesis","compound eye development;dorsal closure;dorsal closure, elongation of leading edge cells;embryonic morphogenesis;epidermis morphogenesis;establishment of mitotic spindle orientation;establishment or maintenance of cell polarity;glial cell proliferation;ommatidial rotation;regulation of JNK cascade;regulation of protein localization;second mitotic wave involved in compound eye morphogenesis"
2138796,CPTI000658,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138796,2138796.png,FBgn0000017,http://flybase.org/reports/FBgn0000017,Abl,yes,yes,no,no,yes,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,11628.66667,11063,3726,"axis elongation;axon guidance;axon midline choice point recognition;axonogenesis;branchiomotor neuron axon guidance;central nervous system development;chemical synaptic transmission;compound eye development;cytoplasmic transport, nurse cell to oocyte;dendrite morphogenesis;dorsal closure;epithelial cell morphogenesis;learning or memory;motor neuron axon guidance;negative regulation of neuron projection development;negative regulation of synaptic growth at neuromuscular junction;neuron migration;peptidyl-tyrosine phosphorylation;photoreceptor cell axon guidance;positive regulation of lamellipodium assembly;positive regulation of protein export from nucleus;protein autophosphorylation;regulation of actin polymerization or depolymerization;regulation of cell shape;regulation of protein localization;regulation of protein stability;ventral cord development;ventral furrow formation","axis elongation;axon guidance;axon midline choice point recognition;axonogenesis;branchiomotor neuron axon guidance;central nervous system development;chemical synaptic transmission;compound eye development;cytoplasmic transport, nurse cell to oocyte;dendrite morphogenesis;dorsal closure;epithelial cell morphogenesis;learning or memory;motor neuron axon guidance;negative regulation of neuron projection development;negative regulation of synaptic growth at neuromuscular junction;neuron migration;peptidyl-tyrosine phosphorylation;photoreceptor cell axon guidance;positive regulation of lamellipodium assembly;positive regulation of protein export from nucleus;protein autophosphorylation;regulation of actin polymerization or depolymerization;regulation of cell shape;regulation of protein localization;regulation of protein stability;ventral cord development;ventral furrow formation"
2138879,CPTI000688,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138879,2138879.png,FBgn0014002,http://flybase.org/reports/FBgn0014002,Pdi,yes,yes,no,no,no,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,7764.666667,3616.666667,4893,,
2138836,CPTI000727,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138836,2138836.png,FBgn0261617,http://flybase.org/reports/FBgn0261617,nej,yes,no,yes,no,yes,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,21172,20287.33333,3962,DNA replication checkpoint;R3/R4 cell fate commitment;R7 cell differentiation;Wnt signaling pathway;circadian regulation of gene expression;compound eye development;compound eye morphogenesis;glial cell migration;hemopoiesis;histone H3-K18 acetylation;histone H3-K27 acetylation;histone H3-K4 methylation;histone H4-K12 acetylation;histone H4-K8 acetylation;histone acetylation;locomotor rhythm;negative regulation of canonical Wnt signaling pathway;neurotransmitter secretion;ovarian follicle cell development;positive regulation of canonical Wnt signaling pathway;positive regulation of smoothened signaling pathway;positive regulation of transcription by RNA polymerase II;regulation of mitotic nuclear division;smoothened signaling pathway;synapse assembly;thermosensory behavior,DNA replication checkpoint;R3/R4 cell fate commitment;R7 cell differentiation;Wnt signaling pathway;circadian regulation of gene expression;compound eye development;compound eye morphogenesis;glial cell migration;hemopoiesis;histone H3-K18 acetylation;histone H3-K27 acetylation;histone H3-K4 methylation;histone H4-K12 acetylation;histone H4-K8 acetylation;histone acetylation;locomotor rhythm;negative regulation of canonical Wnt signaling pathway;neurotransmitter secretion;ovarian follicle cell development;positive regulation of canonical Wnt signaling pathway;positive regulation of smoothened signaling pathway;positive regulation of transcription by RNA polymerase II;regulation of mitotic nuclear division;smoothened signaling pathway;synapse assembly;thermosensory behavior
2138338,CPTI000739,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138338,2138338.png,FBgn0085451,http://flybase.org/reports/FBgn0085451,htk,yes,no,no,no,no,no,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,5687,3358,1306,negative regulation of neuron death;regulation of transcription by RNA polymerase II,negative regulation of neuron death;regulation of transcription by RNA polymerase II
2138829,CPTI000836,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138829,2138829.png,FBgn0035397,http://flybase.org/reports/FBgn0035397,CG11486,yes,yes,yes,yes,yes,yes,no,no,no,no,no,no,no,both,no,both,both,both,yes,yes,no,,6207.666667,18748.33333,33604,deadenylation-dependent decapping of nuclear-transcribed mRNA;mRNA processing;nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of cytoplasmic mRNA processing body assembly,deadenylation-dependent decapping of nuclear-transcribed mRNA;mRNA processing;nuclear-transcribed mRNA poly(A) tail shortening;positive regulation of cytoplasmic mRNA processing body assembly
2138025,CPTI000876,MB,https://omero1.bioch.ox.ac.uk/figure/file/2138025,2138025.png,FBgn0000097,http://flybase.org/reports/FBgn0000097,aop,yes,yes,no,no,no,no,yes,yes,no,no,no,no,no,no,no,no,no,no,yes,yes,no,,1942.666667,2501.333333,818,"R3/R4 cell fate commitment;border follicle cell migration;cell differentiation;cell fate determination;compound eye photoreceptor cell differentiation;determination of adult lifespan;dorsal closure;endocytosis;epidermal growth factor receptor signaling pathway;fibroblast growth factor receptor signaling pathway;gonad development;muscle fiber development;negative regulation of R7 cell differentiation;negative regulation of canonical Wnt signaling pathway;negative regulation of fusion cell fate specification;negative regulation of gene expression;negative regulation of terminal cell fate specification, open tracheal system;negative regulation of transcription by RNA polymerase II;negative regulation of transcription, DNA-templated;oenocyte delamination;positive regulation of border follicle cell migration;positive regulation of gene expression;regulation of establishment of planar polarity;regulation of neurogenesis;regulation of transcription by RNA polymerase II;sevenless signaling pathway;vascular endothelial growth factor receptor signaling pathway","R3/R4 cell fate commitment;border follicle cell migration;cell differentiation;cell fate determination;compound eye photoreceptor cell differentiation;determination of adult lifespan;dorsal closure;endocytosis;epidermal growth factor receptor signaling pathway;fibroblast growth factor receptor signaling pathway;gonad development;muscle fiber development;negative regulation of R7 cell differentiation;negative regulation of canonical Wnt signaling pathway;negative regulation of fusion cell fate specification;negative regulation of gene expression;negative regulation of terminal cell fate specification, open tracheal system;negative regulation of transcription by RNA polymerase II;negative regulation of transcription, DNA-templated;oenocyte delamination;positive regulation of border follicle cell migration;positive regulation of gene expression;regulation of establishment of planar polarity;regulation of neurogenesis;regulation of transcription by RNA polymerase II;sevenless signaling pathway;vascular endothelial growth factor receptor signaling pathway"
